benchmark,benchmark_label,seed,estimator,iteration,tau,w2_sq_proxy,protocol
seven_lobes,Seven lobes,23,Plugin_Estimator,2,0.95,0.00465710349580663,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,3,0.95,0.00608695604218955,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,4,0.95,0.005256421044476105,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,5,0.95,0.005773635603727415,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,6,0.95,0.006418567725125494,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,7,0.95,0.007654855987371933,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,8,0.95,0.005953843765697903,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,k_Ensemble,0,0.95,0.0035640031110814514,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,k_Ensemble,1,0.95,0.004117839866548675,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,k_Ensemble,2,0.95,0.006544443965188305,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,k_Ensemble,3,0.95,0.004343235834729607,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,k_Ensemble,4,0.95,0.003880258479403539,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,k_Ensemble,5,0.95,0.004501242597348113,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,k_Ensemble,6,0.95,0.005038392413480535,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,k_Ensemble,7,0.95,0.0056110889565261215,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,k_Ensemble,8,0.95,0.004604022016039007,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,MLE_Exp,0,0.95,0.0035640031110814514,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,MLE_Exp,1,0.95,0.005183272096637321,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,MLE_Exp,2,0.95,0.00465710349580663,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,MLE_Exp,3,0.95,0.00608695604218955,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,MLE_Exp,4,0.95,0.005256421044476105,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,MLE_Exp,5,0.95,0.005773635603727415,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,MLE_Exp,6,0.95,0.006418567725125494,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,MLE_Exp,7,0.95,0.007654855987371933,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,MLE_Exp,8,0.95,0.005953843765697903,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,0,0.95,0.0035640031110814514,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,1,0.95,0.0029217881787179426,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,2,0.95,0.0028976573497325876,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,3,0.95,0.0028087530675921205,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,4,0.95,0.002484745386512107,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,5,0.95,0.0023636034604948898,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,6,0.95,0.002427356032751208,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,7,0.95,0.002525623221914648,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,23,PMM2/PMM3,8,0.95,0.002632830599137526,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,0,0.95,0.005357776768420237,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,1,0.95,0.006761869592588107,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,2,0.95,0.006260400258664984,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,3,0.95,0.006472325983990736,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,4,0.95,0.006744497593840465,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,5,0.95,0.005935990646759542,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,6,0.95,0.0065918462908356405,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,7,0.95,0.005426296111258538,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,8,0.95,0.0070638851671278174,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,k_Ensemble,0,0.95,0.005357776768420237,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,k_Ensemble,1,0.95,0.0054733977600973085,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,k_Ensemble,2,0.95,0.007687519055590912,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,k_Ensemble,3,0.95,0.004837520635074929,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,k_Ensemble,4,0.95,0.0041993145916521864,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,k_Ensemble,5,0.95,0.004731537153133368,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,k_Ensemble,6,0.95,0.005016738422848162,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,k_Ensemble,7,0.95,0.004738837393922366,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,k_Ensemble,8,0.95,0.0067936965888725056,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,MLE_Exp,0,0.95,0.005357776768420237,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,MLE_Exp,1,0.95,0.006761869592588107,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,MLE_Exp,2,0.95,0.006260400258664984,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,MLE_Exp,3,0.95,0.006472325983990736,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,MLE_Exp,4,0.95,0.006744497593840465,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,MLE_Exp,5,0.95,0.005935990646759542,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,MLE_Exp,6,0.95,0.0065918462908356405,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,MLE_Exp,7,0.95,0.005426296111258538,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,MLE_Exp,8,0.95,0.0070638851671278174,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,PMM2/PMM3,0,0.95,0.005357776768420237,iterated_resampling_with_matched_refresh_proxy
seven_lobes,Seven lobes,31,PMM2/PMM3,1,0.95,0.004908772166174935,iterated_resampling_with_matched_refresh_proxy
