law,seed,n_panels,k,estimator,gamma3,gamma4,gamma6,g3,kappa,mean_bias,mean_variance,mean_mse,density_bias,density_variance,density_mse,convergence_rate,guard_accept_rate,mean_iterations
uniform_0_2,11,6000,128,pmm3_location_raw,-0.0015536436761775653,-1.1999339869317331,6.8548005480178915,0.2994817019480046,0.4286028832549941,-0.0004842357710576005,0.0008044390114650207,0.000804539422578415,0.0012918428104627616,0.0008110786036574358,0.0008126122817371038,1.0,1.0,2.5593333333333335
uniform_0_2,11,6000,128,pmm3_location_guarded,-0.0015536436761775653,-1.1999339869317331,6.8548005480178915,0.2994817019480046,0.4286028832549941,-0.0004842357710576005,0.0008044390114650207,0.000804539422578415,0.0012918428104627616,0.0008110786036574358,0.0008126122817371038,1.0,1.0,2.5593333333333335
uniform_0_2,17,6000,128,mean_mle,0.0027326487302854474,-1.1989558477218647,6.845785275617192,0.3005511566088642,0.4297322001461764,1.444030080695787e-16,0.002629281672304756,0.002628843458692705,0.0026426180400241123,0.0026701598123587077,0.0026766982158287758,1.0,1.0,0.0
uniform_0_2,17,6000,128,pmm3_location_raw,0.0027326487302854474,-1.1989558477218647,6.845785275617192,0.3005511566088642,0.4297322001461764,0.0009293090960550718,0.0008201828957292715,0.0008209098139759942,-0.00010914429814447189,0.000821574091314372,0.0008214490747769702,1.0,1.0,2.554333333333333
uniform_0_2,17,6000,128,pmm3_location_guarded,0.0027326487302854474,-1.1989558477218647,6.845785275617192,0.3005511566088642,0.4297322001461764,0.0009293090960550718,0.0008201828957292715,0.0008209098139759942,-0.00010914429814447189,0.000821574091314372,0.0008214490747769702,1.0,1.0,2.554333333333333
uniform_0_2,23,6000,128,mean_mle,0.00021258782394339038,-1.2004483924745832,6.86162539394244,0.2996289640422517,0.4292752252749704,3.223347514828371e-17,0.0026678959803319814,0.002667451331001926,0.0026979727324369625,0.0027446739326585923,0.0027514955438681225,1.0,1.0,0.0
uniform_0_2,23,6000,128,pmm3_location_raw,0.00021258782394339038,-1.2004483924745832,6.86162539394244,0.2996289640422517,0.4292752252749704,2.593874813599234e-05,0.0007957641393384168,0.0007956321848005154,0.0007729616256888529,0.0008037133716830729,0.0008041768891292467,1.0,1.0,2.5715
uniform_0_2,23,6000,128,pmm3_location_guarded,0.00021258782394339038,-1.2004483924745832,6.86162539394244,0.2996289640422517,0.4292752252749704,2.593874813599234e-05,0.0007957641393384168,0.0007956321848005154,0.0007729616256888529,0.0008037133716830729,0.0008041768891292467,1.0,1.0,2.5715
uniform_0_2,31,6000,128,mean_mle,-0.0002778518047154536,-1.2006032850441726,6.864262501758375,0.29987119275119445,0.4283335377448222,-1.1598129863917468e-16,0.0027286766378292787,0.0027282218583896405,0.0027453071377429956,0.0027776852813306088,0.0027847590450642635,1.0,1.0,0.0
uniform_0_2,31,6000,128,pmm3_location_raw,-0.0002778518047154536,-1.2006032850441726,6.864262501758375,0.29987119275119445,0.4283335377448222,-0.00017118104467641053,0.0008383817929527518,0.0008382713656039829,0.001011982314533139,0.0008447621876574771,0.000845645502164462,1.0,1.0,2.5728333333333335
uniform_0_2,31,6000,128,pmm3_location_guarded,-0.0002778518047154536,-1.2006032850441726,6.864262501758375,0.29987119275119445,0.4283335377448222,-0.00017118104467641053,0.0008383817929527518,0.0008382713656039829,0.001011982314533139,0.0008447621876574771,0.000845645502164462,1.0,1.0,2.5728333333333335
uniform_0_2,43,6000,128,mean_mle,0.0002755454251280784,-1.201400305833072,6.871180950189256,0.2988545703659362,0.4290073352496295,8.918791631155425e-18,0.0026127361021257046,0.0026123006461086836,0.0026395508092254254,0.0026820885752227145,0.00268860878893466,1.0,1.0,0.0
uniform_0_2,43,6000,128,pmm3_location_raw,0.0002755454251280784,-1.201400305833072,6.871180950189256,0.2988545703659362,0.4290073352496295,0.00010388429556284591,0.0008093013762882595,0.0008091772846724094,0.0007070283047788315,0.0008143207464338582,0.000814684915333211,1.0,1.0,2.5501666666666667
uniform_0_2,43,6000,128,pmm3_location_guarded,0.0002755454251280784,-1.201400305833072,6.871180950189256,0.2988545703659362,0.4290073352496295,0.00010388429556284591,0.0008093013762882595,0.0008091772846724094,0.0007070283047788315,0.0008143207464338582,0.000814684915333211,1.0,1.0,2.5501666666666667
triangular_0_2,11,6000,8,mean_mle,0.0015925926373634809,-0.6025976809019462,1.7374670099681069,0.8430811690963045,-0.14033203333443664,-1.0066022089934753e-17,0.021382800739930128,0.021379236939806808,0.02297180167460927,0.02601998549852231,0.026543352506450135,1.0,1.0,0.0
triangular_0_2,11,6000,8,pmm3_location_raw,0.0015925926373634809,-0.6025976809019462,1.7374670099681069,0.8430811690963045,-0.14033203333443664,-1.0066022089934753e-17,0.021382800739930128,0.021379236939806808,0.02297180167460927,0.02601998549852231,0.026543352506450135,1.0,1.0,0.0
triangular_0_2,11,6000,8,pmm3_location_guarded,0.0015925926373634809,-0.6025976809019462,1.7374670099681069,0.8430811690963045,-0.14033203333443664,-1.0066022089934753e-17,0.021382800739930128,0.021379236939806808,0.02297180167460927,0.02601998549852231,0.026543352506450135,1.0,1.0,0.0
