"law","n","M","method","gamma3","gamma4","gamma6","g3_theory","bias","variance","mse","var_ratio_vs_ols","are_vs_ols","convergence_rate"
"uniform",200,300,"OLS",0.00500612976636864,-1.1883025902885,6.76767045490975,0.318813771338814,0.00109316574270734,0.0136692190886191,0.0136248500363314,1,1,1
"uniform",200,300,"PMM3",0.00500612976636864,-1.1883025902885,6.76767045490975,0.318813771338814,0.00374229356616749,0.00481936299636477,0.00481730321417894,0.352570469835935,2.83631241284994,1
"beta_2_2",50,300,"OLS",0.00104579335304232,-0.829303494955197,3.67844302789673,0.689465529039451,0.00171552688423489,0.0444588966306742,0.0443136433410625,1,1,1
"beta_2_2",50,300,"PMM3",0.00104579335304232,-0.829303494955197,3.67844302789673,0.689465529039451,0.00652642898708,0.0353878075784051,0.0353124424951338,0.795966842640657,1.2563337395845,1
"beta_2_2",100,300,"OLS",0.00306571526321622,-0.856739088509069,3.86476748105074,0.659256059889725,-0.00489936643355626,0.0290894049157496,0.0290164440241473,1,1,1
"beta_2_2",100,300,"PMM3",0.00306571526321622,-0.856739088509069,3.86476748105074,0.659256059889725,-0.00507417934436017,0.0182562864604537,0.0182211794682709,0.627592297378672,1.59339113016014,1
"beta_2_2",200,300,"OLS",0.00542542456271079,-0.850350011608662,3.78108759264562,0.660189668980596,0.00658170652815693,0.015755855678621,0.0157466550205151,1,1,1
"beta_2_2",200,300,"PMM3",0.00542542456271079,-0.850350011608662,3.78108759264562,0.660189668980596,0.00682990574348885,0.0102395627917357,0.0102520785282281,0.64988934911543,1.53872347863695,1
"beta_half_half",50,300,"OLS",0.000938724386705299,-1.42859729337425,9.3202954613543,0.171353363091167,-0.0224320856880235,0.063249047103443,0.0635414154147463,1,1,1
"beta_half_half",50,300,"PMM3",0.000938724386705299,-1.42859729337425,9.3202954613543,0.171353363091167,-0.00797759015356678,0.0120741375683129,0.0120975323877435,0.190898331615428,5.23839046437838,1
"beta_half_half",100,300,"OLS",-0.000599299566684199,-1.46638683226143,9.68389894898149,0.135185310749968,0.00492398716744378,0.0278277267915718,0.0277592133518917,1,1,1
"beta_half_half",100,300,"PMM3",-0.000599299566684199,-1.46638683226143,9.68389894898149,0.135185310749968,0.00321859411489914,0.00307500235772396,0.00307511169794134,0.110501385210354,9.04966031055961,1
"beta_half_half",200,300,"OLS",0.0129208375900451,-1.48794282807997,9.89264380370364,0.114820595519811,0.00569412852746206,0.013053492863908,0.0130424043207156,1,1,1
"beta_half_half",200,300,"PMM3",0.0129208375900451,-1.48794282807997,9.89264380370364,0.114820595519811,0.00278548649225739,0.00159411293434406,0.00159655815956146,0.122121561712549,8.18856216688262,1
"two_point_jitter",50,300,"OLS",-0.00589359640457642,-1.9074088890161,14.91622959762,0.0296944802869245,0.00876129045257349,0.0751543074683717,0.0749805533205381,1,1,1
"two_point_jitter",50,300,"PMM3",-0.00589359640457642,-1.9074088890161,14.91622959762,0.0296944802869245,-0.00140895227469564,0.000601217247250614,0.000601198336272149,0.00799977097125981,125.003578676518,1
"two_point_jitter",100,300,"OLS",0.00878451812463375,-1.96030099802704,15.528183444851,0.0109882229706343,0.00666401998780005,0.0309892341583202,0.0309303458735236,1,1,1
"two_point_jitter",100,300,"PMM3",0.00878451812463375,-1.96030099802704,15.528183444851,0.0109882229706343,0.000836894558269538,2.89824624712467e-05,2.95862467646704e-05,0.000935242940279805,1069.24089659615,1
"two_point_jitter",200,300,"OLS",-0.00543326129014415,-1.97671531463235,15.7218650256958,0.00611069662926755,-0.00254898909833247,0.014037060788487,0.0139967679312821,1,1,1
"two_point_jitter",200,300,"PMM3",-0.00543326129014415,-1.97671531463235,15.7218650256958,0.00611069662926755,-0.000101568405278664,1.44845323142503e-05,1.44465666808203e-05,0.0010318778647828,969.106940006401,1
