benchmark,benchmark_label,seed,estimator,n_particles,k,tau,w2_sq_proxy,kl_pairwise,max_slack,component_loss,missing_fraction,wallclock_sec,selector_branch,c3,c4,protocol
seven_lobes,Seven lobes,23,k_Ensemble,220,12,0.5,0.0037354325768177935,0.008485614838526816,0.0,0,0.0,0.0028860000311397016,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,MLE_Exp,220,12,0.5,0.0037857813093951803,0.007959581304289306,0.0,0,0.0,0.002825708012096584,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,PMM2/MLE,220,12,0.5,0.0036262039905422296,0.017504603052103194,0.0,0,0.0,0.003052333020605147,PMM2,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,220,12,0.5,0.00572534406152256,0.013341630508810806,0.0,0,0.0,0.0027962090098299086,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,k_Ensemble,220,12,0.5,0.005643667884082636,0.007451946038848564,0.0,0,0.0,0.0028405000339262187,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,MLE_Exp,220,12,0.5,0.00572534406152256,0.013341630508810806,0.0,0,0.0,0.0026937919901683927,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,PMM2/MLE,220,12,0.5,0.00543974497042361,0.011283541630438917,0.0,0,0.0,0.0030573749681934714,PMM2,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,220,12,0.5,0.003695578732670262,0.005518707798238917,0.0,0,0.0,0.0028673330089077353,not_applicable,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,k_Ensemble,220,12,0.5,0.0036142543400806398,0.008015403405362737,0.0,0,0.0,0.002963208011351526,not_applicable,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,MLE_Exp,220,12,0.5,0.003695578732670262,0.005518707798238917,0.0,0,0.0,0.002797457971610129,not_applicable,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,PMM2/MLE,220,12,0.5,0.0034614044129262825,0.034960182632418686,0.0,0,0.0,0.0031325420131906867,PMM2,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,220,12,0.75,0.005913068429684223,0.1269406134582411,0.0,0,0.0,0.0027988749789074063,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,k_Ensemble,220,12,0.75,0.005358918026388845,0.03824488596834622,0.0,0,0.0,0.002939124999102205,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
