benchmark,benchmark_label,seed,estimator,n_particles,k,tau,wallclock_sec,protocol
scaling_stress,Scaling stress-test,23,Plugin_Estimator,220,12,0.8,0.0036042080027982593,single_step_resampling_proxy
scaling_stress,Scaling stress-test,23,k_Ensemble,220,12,0.8,0.0030652919958811253,single_step_resampling_proxy
scaling_stress,Scaling stress-test,23,MLE_Exp,220,12,0.8,0.003166707989294082,single_step_resampling_proxy
scaling_stress,Scaling stress-test,23,PMM2/PMM3,220,12,0.8,0.003344916010973975,single_step_resampling_proxy
scaling_stress,Scaling stress-test,31,Plugin_Estimator,220,12,0.8,0.0035142499837093055,single_step_resampling_proxy
scaling_stress,Scaling stress-test,31,k_Ensemble,220,12,0.8,0.002990999986650422,single_step_resampling_proxy
scaling_stress,Scaling stress-test,31,MLE_Exp,220,12,0.8,0.0033570420055184513,single_step_resampling_proxy
scaling_stress,Scaling stress-test,31,PMM2/PMM3,220,12,0.8,0.003504374995827675,single_step_resampling_proxy
scaling_stress,Scaling stress-test,43,Plugin_Estimator,220,12,0.8,0.0030313750030472875,single_step_resampling_proxy
scaling_stress,Scaling stress-test,43,k_Ensemble,220,12,0.8,0.0031462920014746487,single_step_resampling_proxy
scaling_stress,Scaling stress-test,43,MLE_Exp,220,12,0.8,0.0029402079817373306,single_step_resampling_proxy
scaling_stress,Scaling stress-test,43,PMM2/PMM3,220,12,0.8,0.0034680830140132457,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,11,Plugin_Estimator,220,12,0.85,0.0029122910054866225,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,11,k_Ensemble,220,12,0.85,0.002843208989361301,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,11,MLE_Exp,220,12,0.85,0.00285445898771286,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,11,PMM2/PMM3,220,12,0.85,0.003338250011438504,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,17,Plugin_Estimator,220,12,0.85,0.002897750004194677,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,17,k_Ensemble,220,12,0.85,0.0029211670043878257,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,17,MLE_Exp,220,12,0.85,0.0029066250135656446,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,17,PMM2/PMM3,220,12,0.85,0.003286915976786986,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,23,Plugin_Estimator,220,12,0.85,0.0029772910056635737,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,23,k_Ensemble,220,12,0.85,0.0028544590168166906,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,23,MLE_Exp,220,12,0.85,0.004280416993424296,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,23,PMM2/PMM3,220,12,0.85,0.003455625002970919,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,31,Plugin_Estimator,220,12,0.85,0.0029786250088363886,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,31,k_Ensemble,220,12,0.85,0.002938290999736637,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,31,MLE_Exp,220,12,0.85,0.0027882919821422547,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,31,PMM2/PMM3,220,12,0.85,0.0033508340129628778,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,43,Plugin_Estimator,220,12,0.85,0.0028612920141313225,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,43,k_Ensemble,220,12,0.85,0.002904082997702062,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,43,MLE_Exp,220,12,0.85,0.0028051249973941594,single_step_resampling_proxy
robotics_proxy,Robotics corridor proxy,43,PMM2/PMM3,220,12,0.85,0.003427708987146616,single_step_resampling_proxy
